Year,Region,Sex,citizenship,series,value
1971,Switzerland,Sex - total,Citizenship (category) - total,death,57856.0
1971,Switzerland,Male,Citizenship (category) - total,death,30343.0
1971,Switzerland,Female,Citizenship (category) - total,death,27513.0
1971,Switzerland,Sex - total,Switzerland,death,53889.0
1971,Switzerland,Male,Switzerland,death,28163.0
1971,Switzerland,Female,Switzerland,death,25726.0
1971,Switzerland,Sex - total,Foreign country,death,3967.0
1971,Switzerland,Male,Foreign country,death,2180.0
1971,Switzerland,Female,Foreign country,death,1787.0
1971,Zürich,Sex - total,Citizenship (category) - total,death,9764.0
1971,Zürich,Male,Citizenship (category) - total,death,5001.0
1971,Zürich,Female,Citizenship (category) - total,death,4763.0
1971,Zürich,Sex - total,Switzerland,death,9102.0
1971,Zürich,Male,Switzerland,death,4644.0
1971,Zürich,Female,Switzerland,death,4458.0
1971,Zürich,Sex - total,Foreign country,death,662.0
1971,Zürich,Male,Foreign country,death,357.0
1971,Zürich,Female,Foreign country,death,305.0
1971,Bern,Sex - total,Citizenship (category) - total,death,8948.0
1971,Bern,Male,Citizenship (category) - total,death,4803.0
1971,Bern,Female,Citizenship (category) - total,death,4145.0
1971,Bern,Sex - total,Switzerland,death,8687.0
1971,Bern,Male,Switzerland,death,4633.0
1971,Bern,Female,Switzerland,death,4054.0
1971,Bern,Sex - total,Foreign country,death,261.0
1971,Bern,Male,Foreign country,death,170.0
1971,Bern,Female,Foreign country,death,91.0
1971,Luzern,Sex - total,Citizenship (category) - total,death,2497.0
1971,Luzern,Male,Citizenship (category) - total,death,1330.0
1971,Luzern,Female,Citizenship (category) - total,death,1167.0
1971,Luzern,Sex - total,Switzerland,death,2385.0
1971,Luzern,Male,Switzerland,death,1261.0
1971,Luzern,Female,Switzerland,death,1124.0
1971,Luzern,Sex - total,Foreign country,death,112.0
1971,Luzern,Male,Foreign country,death,69.0
1971,Luzern,Female,Foreign country,death,43.0
1971,Uri,Sex - total,Citizenship (category) - total,death,281.0
1971,Uri,Male,Citizenship (category) - total,death,158.0
1971,Uri,Female,Citizenship (category) - total,death,123.0
1971,Uri,Sex - total,Switzerland,death,274.0
1971,Uri,Male,Switzerland,death,153.0
1971,Uri,Female,Switzerland,death,121.0
1971,Uri,Sex - total,Foreign country,death,7.0
1971,Uri,Male,Foreign country,death,5.0
1971,Uri,Female,Foreign country,death,2.0
1971,Schwyz,Sex - total,Citizenship (category) - total,death,812.0
1971,Schwyz,Male,Citizenship (category) - total,death,429.0
1971,Schwyz,Female,Citizenship (category) - total,death,383.0
1971,Schwyz,Sex - total,Switzerland,death,774.0
1971,Schwyz,Male,Switzerland,death,411.0
1971,Schwyz,Female,Switzerland,death,363.0
1971,Schwyz,Sex - total,Foreign country,death,38.0
1971,Schwyz,Male,Foreign country,death,18.0
1971,Schwyz,Female,Foreign country,death,20.0
1971,Obwalden,Sex - total,Citizenship (category) - total,death,220.0
1971,Obwalden,Male,Citizenship (category) - total,death,120.0
1971,Obwalden,Female,Citizenship (category) - total,death,100.0
1971,Obwalden,Sex - total,Switzerland,death,207.0
1971,Obwalden,Male,Switzerland,death,111.0
1971,Obwalden,Female,Switzerland,death,96.0
1971,Obwalden,Sex - total,Foreign country,death,13.0
1971,Obwalden,Male,Foreign country,death,9.0
1971,Obwalden,Female,Foreign country,death,4.0
1971,Nidwalden,Sex - total,Citizenship (category) - total,death,234.0
1971,Nidwalden,Male,Citizenship (category) - total,death,130.0
1971,Nidwalden,Female,Citizenship (category) - total,death,104.0
1971,Nidwalden,Sex - total,Switzerland,death,219.0
1971,Nidwalden,Male,Switzerland,death,118.0
1971,Nidwalden,Female,Switzerland,death,101.0
1971,Nidwalden,Sex - total,Foreign country,death,15.0
1971,Nidwalden,Male,Foreign country,death,12.0
1971,Nidwalden,Female,Foreign country,death,3.0
1971,Glarus,Sex - total,Citizenship (category) - total,death,429.0
1971,Glarus,Male,Citizenship (category) - total,death,229.0
1971,Glarus,Female,Citizenship (category) - total,death,200.0
1971,Glarus,Sex - total,Switzerland,death,411.0
1971,Glarus,Male,Switzerland,death,217.0
1971,Glarus,Female,Switzerland,death,194.0
1971,Glarus,Sex - total,Foreign country,death,18.0
1971,Glarus,Male,Foreign country,death,12.0
1971,Glarus,Female,Foreign country,death,6.0
1971,Zug,Sex - total,Citizenship (category) - total,death,485.0
1971,Zug,Male,Citizenship (category) - total,death,255.0
1971,Zug,Female,Citizenship (category) - total,death,230.0
1971,Zug,Sex - total,Switzerland,death,453.0
1971,Zug,Male,Switzerland,death,239.0
1971,Zug,Female,Switzerland,death,214.0
1971,Zug,Sex - total,Foreign country,death,32.0
1971,Zug,Male,Foreign country,death,16.0
1971,Zug,Female,Foreign country,death,16.0
1971,Fribourg,Sex - total,Citizenship (category) - total,death,1642.0
1971,Fribourg,Male,Citizenship (category) - total,death,911.0
1971,Fribourg,Female,Citizenship (category) - total,death,731.0
1971,Fribourg,Sex - total,Switzerland,death,1587.0
1971,Fribourg,Male,Switzerland,death,886.0
1971,Fribourg,Female,Switzerland,death,701.0
1971,Fribourg,Sex - total,Foreign country,death,55.0
1971,Fribourg,Male,Foreign country,death,25.0
1971,Fribourg,Female,Foreign country,death,30.0
1971,Solothurn,Sex - total,Citizenship (category) - total,death,2031.0
1971,Solothurn,Male,Citizenship (category) - total,death,1082.0
1971,Solothurn,Female,Citizenship (category) - total,death,949.0
1971,Solothurn,Sex - total,Switzerland,death,1945.0
1971,Solothurn,Male,Switzerland,death,1035.0
1971,Solothurn,Female,Switzerland,death,910.0
1971,Solothurn,Sex - total,Foreign country,death,86.0
1971,Solothurn,Male,Foreign country,death,47.0
1971,Solothurn,Female,Foreign country,death,39.0
1971,Basel-Stadt,Sex - total,Citizenship (category) - total,death,2579.0
1971,Basel-Stadt,Male,Citizenship (category) - total,death,1239.0
1971,Basel-Stadt,Female,Citizenship (category) - total,death,1340.0
1971,Basel-Stadt,Sex - total,Switzerland,death,2399.0
1971,Basel-Stadt,Male,Switzerland,death,1155.0
1971,Basel-Stadt,Female,Switzerland,death,1244.0
1971,Basel-Stadt,Sex - total,Foreign country,death,180.0
1971,Basel-Stadt,Male,Foreign country,death,84.0
1971,Basel-Stadt,Female,Foreign country,death,96.0
1971,Basel-Landschaft,Sex - total,Citizenship (category) - total,death,1424.0
1971,Basel-Landschaft,Male,Citizenship (category) - total,death,758.0
1971,Basel-Landschaft,Female,Citizenship (category) - total,death,666.0
1971,Basel-Landschaft,Sex - total,Switzerland,death,1337.0
1971,Basel-Landschaft,Male,Switzerland,death,707.0
1971,Basel-Landschaft,Female,Switzerland,death,630.0
1971,Basel-Landschaft,Sex - total,Foreign country,death,87.0
1971,Basel-Landschaft,Male,Foreign country,death,51.0
1971,Basel-Landschaft,Female,Foreign country,death,36.0
1971,Schaffhausen,Sex - total,Citizenship (category) - total,death,714.0
1971,Schaffhausen,Male,Citizenship (category) - total,death,384.0
1971,Schaffhausen,Female,Citizenship (category) - total,death,330.0
1971,Schaffhausen,Sex - total,Switzerland,death,657.0
1971,Schaffhausen,Male,Switzerland,death,357.0
1971,Schaffhausen,Female,Switzerland,death,300.0
1971,Schaffhausen,Sex - total,Foreign country,death,57.0
1971,Schaffhausen,Male,Foreign country,death,27.0
1971,Schaffhausen,Female,Foreign country,death,30.0
1971,Appenzell Ausserrhoden,Sex - total,Citizenship (category) - total,death,665.0
1971,Appenzell Ausserrhoden,Male,Citizenship (category) - total,death,361.0
1971,Appenzell Ausserrhoden,Female,Citizenship (category) - total,death,304.0
